2947530506428832768 101.64608 -14.92456  19  17  17    0.09537  12.677 12.997 12.220 99.999 99.999 99.999 99.999   0.855  0.030  1.205  0.000    0.000  0.965 OTHER           a
3315820030750497536  89.13874   1.70906  14  14  14    0.27332  16.263 17.001 15.385  0.086  0.131  0.838  0.395   0.415  0.078  1.344  0.000    0.000  1.013 RRC             
4044404165342126848 276.27275 -34.44904  17  14  15    1.11099  15.780 16.080 15.320  0.418 99.999  4.870 99.999   0.058  0.050  1.241  0.000    0.000  0.938 ACEP_F          d
4296338318281270144 293.05243   8.93232  32  28  32    0.44584  16.755 17.361 15.992  0.136  0.133  1.688  2.749   0.123  0.076  1.279  0.000    0.000  1.032 OTHER           
6641655551574932992 298.65060 -53.31556  32  31  31    0.45379  13.830 14.016 13.499  0.130 99.999  2.243 99.999   0.177  0.026  1.199  0.108    3.370  1.228 RRC           N f,g
5631368811358200320 141.58416 -31.61573  19  16  17    0.46519  16.371 16.604 15.981  0.229 99.999  2.012 99.999   0.018  0.084  1.245  0.167    1.133  1.079 OTHER           
4437777711669788416 244.96412   5.29721  39  33  35    0.46976  16.403 16.598 16.067  0.078  0.074  2.393  5.797   0.046  0.066  1.208  0.000    0.000  0.985 OTHER           
4113412916685330304 254.11532 -24.06865  36  30  28    0.47605  16.500 16.869 15.891  0.070  0.082  1.695  5.894   0.107  0.086  1.247  0.000    0.000  1.003 OTHER           
4311050922079027584 285.55926  10.57317  18  15  13    0.47706  18.337 19.361 17.269  0.158 99.999  2.451 99.999   0.064  0.207  1.447  0.550    1.565  1.051 ---             NC:c,e
3099348185775497728 101.98331  -7.41384  19  17  16    0.48199  14.245 14.649 13.646 99.999 99.999 99.999 99.999   0.229  0.032  1.237  0.000    0.000  0.911 RRAB            a
4114405122877842688 257.82295 -23.27459  21  17  19    0.48384  16.982 17.432 16.387  0.186  0.425  1.914  1.335  -0.127  0.128  1.311  0.000    0.000  1.023 RRAB            
5958267083020200448 263.74736 -44.83491  22  21  22    0.48582  15.313 15.668 14.777  0.126 99.999  1.898 99.999   0.040  0.041  1.234  0.000    0.000  1.065 DCEP_1O       N 
1454878497455250048 205.55970  28.42065  45  44  42    0.48612  15.315 15.451 14.968  0.090  0.110  2.299  4.807  -0.045  0.035  1.234  0.000    0.000  0.993 RRC             h
4043821561616680448 270.95217 -31.78211  17  12  14    0.49590  16.681 17.264 15.916  0.473 99.999  3.912 99.999   0.039  0.096  1.309  0.159    0.589  1.035 RRAB            a
6027007317365233920 252.12822 -33.32106  35  31  32    0.50964  17.119 17.791 16.273  0.091 99.999  2.404 99.999  -0.018  0.111  1.333  0.061    0.106  1.041 OTHER           
4567278053753143552 260.56273  21.54737  50  47  47    0.51299  15.447 15.631 15.096  0.090  0.117  2.304  5.549   0.030  0.032  1.201  0.000    0.000  1.002 OTHER           
4505713270989483136 281.31161  13.37188  23  21  19    0.51587  15.941 16.386 15.181  0.270  0.432  2.624  1.504   0.064  0.073  1.324  0.448   14.177  1.776 RRAB          N f,g
1788934319227880320 319.12344  19.74569  18  16  16    0.51715  13.786 14.054 13.357  0.752 99.999  3.374 99.999   0.307  0.040  1.201  0.000    0.000  1.087 RRAB            a
